Name,Atom Count_Cation,Atom Count_Anion,Volume_Cation,Volume_Anion,Radius_Cation,Radius_Anion,Volume Cation/Volume Anion,Polar Area_Cation,Polar Area_Anion,Polar Area_IonPair,Rotatable Bonds_Cation,Rotatable Bonds_Anion,Rotatable Bond Fraction_Anion,Rotatable Bond Fraction_Cation,H-Bond Acceptors_Anion,H-Bond Acceptors_Cation,H-Bond Donors_Anion,H-Bond Donors_Cation,H-Bond Interactions_Anion,H-Bond Interactions_Cation,Molecular Weight_Cation,Molecular Weight_Anion,Temperature,LogP_Anion,LogP_Cation,Bond Count_Anion,Bond Count_Cation,Asphericity_Cation,Spherocity_Cation,Asphericity_Anion,Spherocity_Anion,Valence Electrons_Cation,Valence Electrons_Anion,Min Partial Charge_Anion,Min Partial Charge_Cation,Max Partial Charge_Cation,Max Partial Charge_Anion,Asphericity Cation_StDev%,Spherocity_Cation_StDev%,Asphericity Anion_StDev%,Spherocity_Anion_StDev%,SMILES_Anion,SMILES_Cation,Mols_Cation,Mols_Anion,Specific_density
"['1-butyl-1-methylpyrrolidinium', 'tricyanomethanide']",30,7,167.69648000000004,81.77344000000002,3.420937285044969e-10,2.6926168104186303e-10,2.050745083000055,0,48.6,48.6,3,0,0,0.1,3,0,0,0,0,0,142.26,90.06,333,0.19905999999999996,2.0268999999999995,6,30,0.4238809887902482,0.39069851902230646,0.2500001037080352,1.1955108678732652e-12,60,32,-0.761575212,-0.326037383,0.092412052,0.14811021584269293,20.059394405311316,8.605391746892725,1.0277268068043023e-07,190.92245609659622,C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7fd5bd65f6d0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e590>,986
"['1-butyl-1-methylpyrrolidinium', 'tricyanomethanide']",30,7,167.69648000000004,81.77344000000002,3.420937285044969e-10,2.6926168104186303e-10,2.050745083000055,0,48.6,48.6,3,0,0,0.1,3,0,0,0,0,0,142.26,90.06,323,0.19905999999999996,2.0268999999999995,6,30,0.4238809887902482,0.39069851902230646,0.2500001037080352,1.1955108678732652e-12,60,32,-0.761575212,-0.326037383,0.092412052,0.14811021584269293,20.059394405311316,8.605391746892725,1.0277268068043023e-07,190.92245609659622,C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7fd5bd65f6d0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e590>,992
"['1-butyl-1-methylpyrrolidinium', 'tricyanomethanide']",30,7,167.69648000000004,81.77344000000002,3.420937285044969e-10,2.6926168104186303e-10,2.050745083000055,0,48.6,48.6,3,0,0,0.1,3,0,0,0,0,0,142.26,90.06,313,0.19905999999999996,2.0268999999999995,6,30,0.4238809887902482,0.39069851902230646,0.2500001037080352,1.1955108678732652e-12,60,32,-0.761575212,-0.326037383,0.092412052,0.14811021584269293,20.059394405311316,8.605391746892725,1.0277268068043023e-07,190.92245609659622,C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7fd5bd65f6d0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e590>,999
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688000000004,156.65568000000002,3.2866047923619667e-10,3.344150741943107e-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,336,0.9542,1.69252,14,24,0.2957750709620054,0.2576530695777326,0.3392899763570794,0.3331410396496278,54,92,-0.756650956,-0.202742217,0.1776930873133171,0.5185779581521305,24.02387340082975,29.092613220789843,8.871812634,5.562783403315668,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,1429.22
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688000000004,156.65568000000002,3.2866047923619667e-10,3.344150741943107e-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,338,0.9542,1.69252,14,24,0.2957750709620054,0.2576530695777326,0.3392899763570794,0.3331410396496278,54,92,-0.756650956,-0.202742217,0.1776930873133171,0.5185779581521305,24.02387340082975,29.092613220789843,8.871812634,5.562783403315668,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,1426.99
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688000000004,156.65568000000002,3.2866047923619667e-10,3.344150741943107e-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,318,0.9542,1.69252,14,24,0.2957750709620054,0.2576530695777326,0.3392899763570794,0.3331410396496278,54,92,-0.756650956,-0.202742217,0.1776930873133171,0.5185779581521305,24.02387340082975,29.092613220789843,8.871812634,5.562783403315668,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,1445.44
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688000000004,156.65568000000002,3.2866047923619667e-10,3.344150741943107e-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,298,0.9542,1.69252,14,24,0.2957750709620054,0.2576530695777326,0.3392899763570794,0.3331410396496278,54,92,-0.756650956,-0.202742217,0.1776930873133171,0.5185779581521305,24.02387340082975,29.092613220789843,8.871812634,5.562783403315668,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,1464.45
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688000000004,156.65568000000002,3.2866047923619667e-10,3.344150741943107e-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,281,0.9542,1.69252,14,24,0.2957750709620054,0.2576530695777326,0.3392899763570794,0.3331410396496278,54,92,-0.756650956,-0.202742217,0.1776930873133171,0.5185779581521305,24.02387340082975,29.092613220789843,8.871812634,5.562783403315668,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,1480.74
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688000000004,156.65568000000002,3.2866047923619667e-10,3.344150741943107e-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,296,0.9542,1.69252,14,24,0.2957750709620054,0.2576530695777326,0.3392899763570794,0.3331410396496278,54,92,-0.756650956,-0.202742217,0.1776930873133171,0.5185779581521305,24.02387340082975,29.092613220789843,8.871812634,5.562783403315668,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,1466.56
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688000000004,156.65568000000002,3.2866047923619667e-10,3.344150741943107e-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,323,0.9542,1.69252,14,24,0.2957750709620054,0.2576530695777326,0.3392899763570794,0.3331410396496278,54,92,-0.756650956,-0.202742217,0.1776930873133171,0.5185779581521305,24.02387340082975,29.092613220789843,8.871812634,5.562783403315668,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,1440.79
