Name,Atom Count_Cation,Atom Count_Anion,Volume_Cation,Volume_Anion,Radius_Cation,Radius_Anion,Volume Cation/Volume Anion,Polar Area_Cation,Polar Area_Anion,Polar Area_IonPair,Rotatable Bonds_Cation,Rotatable Bonds_Anion,Rotatable Bond Fraction_Anion,Rotatable Bond Fraction_Cation,H-Bond Acceptors_Anion,H-Bond Acceptors_Cation,H-Bond Donors_Anion,H-Bond Donors_Cation,H-Bond Interactions_Anion,H-Bond Interactions_Cation,Molecular Weight_Cation,Molecular Weight_Anion,Temperature,LogP_Anion,LogP_Cation,Bond Count_Anion,Bond Count_Cation,Asphericity_Cation,Spherocity_Cation,Asphericity_Anion,Spherocity_Anion,Valence Electrons_Cation,Valence Electrons_Anion,Min Partial Charge_Anion,Min Partial Charge_Cation,Max Partial Charge_Cation,Max Partial Charge_Anion,Asphericity Cation_StDev%,Spherocity_Cation_StDev%,Asphericity Anion_StDev%,Spherocity_Anion_StDev%,SMILES_Anion,SMILES_Cation,Mols_Cation,Mols_Anion,Molar Conductivity
"['1-butyl-1-methylpyrrolidinium', 'tricyanomethanide']",30,7,167.69648000000004,81.77344000000002,3.420937285044969e-10,2.6926168104186303e-10,2.050745083000055,0,48.6,48.6,3,0,0,0.1,3,0,0,0,0,0,142.26,90.06,304,0.19905999999999996,2.0268999999999995,6,30,0.4238809887902482,0.39069851902230646,0.2500001037080352,1.1955108678732652e-12,60,32,-0.761575212,-0.326037383,0.092412052,0.14811021584269293,20.059394405311316,8.605391746892725,1.0277268068043023e-07,190.92245609659622,C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880b47def0>,<rdkit.Chem.rdchem.Mol object at 0x7f880cc50c70>,2.360223107569721
"['1-butyl-1-methylpyrrolidinium', 'tricyanomethanide']",30,7,167.69648000000004,81.77344000000002,3.420937285044969e-10,2.6926168104186303e-10,2.050745083000055,0,48.6,48.6,3,0,0,0.1,3,0,0,0,0,0,142.26,90.06,278,0.19905999999999996,2.0268999999999995,6,30,0.4238809887902482,0.39069851902230646,0.2500001037080352,1.1955108678732652e-12,60,32,-0.761575212,-0.326037383,0.092412052,0.14811021584269293,20.059394405311316,8.605391746892725,1.0277268068043023e-07,190.92245609659622,C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880b47def0>,<rdkit.Chem.rdchem.Mol object at 0x7f880cc50c70>,0.8882823529411764
"['1-butyl-1-methylpyrrolidinium', 'tricyanomethanide']",30,7,167.69648000000004,81.77344000000002,3.420937285044969e-10,2.6926168104186303e-10,2.050745083000055,0,48.6,48.6,3,0,0,0.1,3,0,0,0,0,0,142.26,90.06,333,0.19905999999999996,2.0268999999999995,6,30,0.4238809887902482,0.39069851902230646,0.2500001037080352,1.1955108678732652e-12,60,32,-0.761575212,-0.326037383,0.092412052,0.14811021584269293,20.059394405311316,8.605391746892725,1.0277268068043023e-07,190.92245609659622,C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880b47def0>,<rdkit.Chem.rdchem.Mol object at 0x7f880cc50c70>,4.830182555780932
"['1-butyl-1-methylpyrrolidinium', 'tricyanomethanide']",30,7,167.69648000000004,81.77344000000002,3.420937285044969e-10,2.6926168104186303e-10,2.050745083000055,0,48.6,48.6,3,0,0,0.1,3,0,0,0,0,0,142.26,90.06,294,0.19905999999999996,2.0268999999999995,6,30,0.4238809887902482,0.39069851902230646,0.2500001037080352,1.1955108678732652e-12,60,32,-0.761575212,-0.326037383,0.092412052,0.14811021584269293,20.059394405311316,8.605391746892725,1.0277268068043023e-07,190.92245609659622,C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880b47def0>,<rdkit.Chem.rdchem.Mol object at 0x7f880cc50c70>,1.7251485148514853
"['1-butyl-1-methylpyrrolidinium', 'tricyanomethanide']",30,7,167.69648000000004,81.77344000000002,3.420937285044969e-10,2.6926168104186303e-10,2.050745083000055,0,48.6,48.6,3,0,0,0.1,3,0,0,0,0,0,142.26,90.06,323,0.19905999999999996,2.0268999999999995,6,30,0.4238809887902482,0.39069851902230646,0.2500001037080352,1.1955108678732652e-12,60,32,-0.761575212,-0.326037383,0.092412052,0.14811021584269293,20.059394405311316,8.605391746892725,1.0277268068043023e-07,190.92245609659622,C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880b47def0>,<rdkit.Chem.rdchem.Mol object at 0x7f880cc50c70>,3.934451612903226
"['1-butyl-1-methylpyrrolidinium', 'tricyanomethanide']",30,7,167.69648000000004,81.77344000000002,3.420937285044969e-10,2.6926168104186303e-10,2.050745083000055,0,48.6,48.6,3,0,0,0.1,3,0,0,0,0,0,142.26,90.06,313,0.19905999999999996,2.0268999999999995,6,30,0.4238809887902482,0.39069851902230646,0.2500001037080352,1.1955108678732652e-12,60,32,-0.761575212,-0.326037383,0.092412052,0.14811021584269293,20.059394405311316,8.605391746892725,1.0277268068043023e-07,190.92245609659622,C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880b47def0>,<rdkit.Chem.rdchem.Mol object at 0x7f880cc50c70>,3.1162042042042044
"['1-butyl-1-methylpyrrolidinium', 'tricyanomethanide']",30,7,167.69648000000004,81.77344000000002,3.420937285044969e-10,2.6926168104186303e-10,2.050745083000055,0,48.6,48.6,3,0,0,0.1,3,0,0,0,0,0,142.26,90.06,298,0.19905999999999996,2.0268999999999995,6,30,0.4238809887902482,0.39069851902230646,0.2500001037080352,1.1955108678732652e-12,60,32,-0.761575212,-0.326037383,0.092412052,0.14811021584269293,20.059394405311316,8.605391746892725,1.0277268068043023e-07,190.92245609659622,C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880b47def0>,<rdkit.Chem.rdchem.Mol object at 0x7f880cc50c70>,2.001172277227723
"['1-butyl-1-methylpyrrolidinium', 'tricyanomethanide']",30,7,167.69648000000004,81.77344000000002,3.420937285044969e-10,2.6926168104186303e-10,2.050745083000055,0,48.6,48.6,3,0,0,0.1,3,0,0,0,0,0,142.26,90.06,298,0.19905999999999996,2.0268999999999995,6,30,0.4238809887902482,0.39069851902230646,0.2500001037080352,1.1955108678732652e-12,60,32,-0.761575212,-0.326037383,0.092412052,0.14811021584269293,20.059394405311316,8.605391746892725,1.0277268068043023e-07,190.92245609659622,C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880b47def0>,<rdkit.Chem.rdchem.Mol object at 0x7f880cc50c70>,2.0071340615690167
"['1-butyl-1-methylpyrrolidinium', 'tricyanomethanide']",30,7,167.69648000000004,81.77344000000002,3.420937285044969e-10,2.6926168104186303e-10,2.050745083000055,0,48.6,48.6,3,0,0,0.1,3,0,0,0,0,0,142.26,90.06,298,0.19905999999999996,2.0268999999999995,6,30,0.4238809887902482,0.39069851902230646,0.2500001037080352,1.1955108678732652e-12,60,32,-0.761575212,-0.326037383,0.092412052,0.14811021584269293,20.059394405311316,8.605391746892725,1.0277268068043023e-07,190.92245609659622,C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880b47def0>,<rdkit.Chem.rdchem.Mol object at 0x7f880cc50c70>,2.001172277227723
"['1-butyl-1-methylpyrrolidinium', 'tricyanomethanide']",30,7,167.69648000000004,81.77344000000002,3.420937285044969e-10,2.6926168104186303e-10,2.050745083000055,0,48.6,48.6,3,0,0,0.1,3,0,0,0,0,0,142.26,90.06,298,0.19905999999999996,2.0268999999999995,6,30,0.4238809887902482,0.39069851902230646,0.2500001037080352,1.1955108678732652e-12,60,32,-0.761575212,-0.326037383,0.092412052,0.14811021584269293,20.059394405311316,8.605391746892725,1.0277268068043023e-07,190.92245609659622,C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880b47def0>,<rdkit.Chem.rdchem.Mol object at 0x7f880cc50c70>,2.0071340615690167
